STOP_ID,CHANGE
20002322,UPDATE
20002327,UPDATE
20002366,UPDATE
20002381,UPDATE
20002391,UPDATE
20002394,UPDATE
20002395,UPDATE
20002403,UPDATE
20002406,UPDATE
20002407,UPDATE
20002413,UPDATE
20002414,UPDATE
20002415,UPDATE
20002416,UPDATE
20002419,UPDATE
20002430,UPDATE
20002436,UPDATE
20002437,UPDATE
20002465,UPDATE
20002474,UPDATE
20002491,UPDATE
20002492,UPDATE
20002493,UPDATE
20002494,UPDATE
20002495,UPDATE
20002496,UPDATE
20002497,UPDATE
20002501,UPDATE
20002502,UPDATE
20002523,UPDATE
20002524,UPDATE
20002551,UPDATE
20002553,UPDATE
20002563,UPDATE
20002565,UPDATE
20002566,UPDATE
20002567,UPDATE
20002568,UPDATE
20002570,UPDATE
20002571,UPDATE
20002578,UPDATE
20002597,UPDATE
20002599,UPDATE
20002600,UPDATE
20002601,UPDATE
20002602,UPDATE
20002603,UPDATE
20002605,UPDATE
20002606,UPDATE
20002608,UPDATE
20002614,UPDATE
20002622,UPDATE
20002623,UPDATE
20002633,UPDATE
20002634,UPDATE
20002646,UPDATE
20002647,UPDATE
20002648,UPDATE
20002649,UPDATE
20002650,UPDATE
20002652,UPDATE
20002654,UPDATE
20002655,UPDATE
20002663,UPDATE
20002670,UPDATE
20002671,UPDATE
20002675,UPDATE
20002676,UPDATE
20002677,UPDATE
20002713,UPDATE
20002719,UPDATE
20002734,UPDATE
20002735,UPDATE
20002740,UPDATE
20002749,UPDATE
20002787,UPDATE
20002790,UPDATE
20002799,UPDATE
20002816,UPDATE
20002839,UPDATE
20002841,UPDATE
20002846,UPDATE
20002870,UPDATE
20002871,UPDATE
20002953,UPDATE
20002981,UPDATE
20003008,UPDATE
20003010,UPDATE
20003011,UPDATE
20003024,UPDATE
20003028,UPDATE
20003029,UPDATE
20003030,UPDATE
20003031,UPDATE
20003045,UPDATE
20003048,UPDATE
20003049,UPDATE
20003050,UPDATE
20003051,UPDATE
20003052,UPDATE
20003054,UPDATE
20003055,UPDATE
20003056,UPDATE
20003065,UPDATE
20003070,UPDATE
20003072,UPDATE
20003075,UPDATE
20003076,UPDATE
20003080,UPDATE
20003082,UPDATE
20003083,UPDATE
20003084,UPDATE
20003085,UPDATE
20003087,UPDATE
20003089,UPDATE
20003090,UPDATE
20003094,UPDATE
20003101,UPDATE
20003105,UPDATE
20003108,UPDATE
20003110,UPDATE
20003117,UPDATE
20003128,UPDATE
20003129,UPDATE
20003132,UPDATE
20003138,UPDATE
20003139,UPDATE
20003142,UPDATE
20003145,UPDATE
20003149,UPDATE
20003150,UPDATE
20003151,UPDATE
20003154,UPDATE
20003160,UPDATE
20003161,UPDATE
20003162,UPDATE
20003163,UPDATE
20003164,UPDATE
20003165,UPDATE
20003166,UPDATE
20003167,UPDATE
20003174,UPDATE
20003175,UPDATE
20003176,UPDATE
20003178,UPDATE
20003179,UPDATE
20003183,UPDATE
20003184,UPDATE
20003188,UPDATE
20003189,UPDATE
20003190,UPDATE
20003191,UPDATE
20003192,UPDATE
20003193,UPDATE
20003196,UPDATE
20003197,UPDATE
20003198,UPDATE
20003200,UPDATE
20003201,UPDATE
20003202,UPDATE
20003203,UPDATE
20003204,UPDATE
20003205,UPDATE
20003224,UPDATE
20003225,UPDATE
20003233,UPDATE
20003237,UPDATE
20003238,UPDATE
20003242,UPDATE
20003243,UPDATE
20003244,UPDATE
20003245,UPDATE
20003246,UPDATE
20003249,UPDATE
20003250,UPDATE
20003259,UPDATE
20003261,UPDATE
20003263,UPDATE
20003264,UPDATE
20003266,UPDATE
20003273,UPDATE
20003278,UPDATE
20003279,UPDATE
20003281,UPDATE
20003282,UPDATE
20003310,UPDATE
20003314,UPDATE
20003318,UPDATE
20003322,UPDATE
20003325,UPDATE
20003326,UPDATE
20003328,UPDATE
20003329,UPDATE
20003330,UPDATE
20003336,UPDATE
20003337,UPDATE
20003338,UPDATE
20003341,UPDATE
20003346,UPDATE
20003351,UPDATE
20003353,UPDATE
20003354,UPDATE
20003355,UPDATE
20003357,UPDATE
20003363,UPDATE
20003365,UPDATE
20003373,UPDATE
20003377,UPDATE
20003387,UPDATE
20003393,UPDATE
20003394,UPDATE
20003397,UPDATE
20003404,UPDATE
20003405,UPDATE
20003420,UPDATE
20003421,UPDATE
20003423,UPDATE
20003424,UPDATE
20003425,UPDATE
20003426,UPDATE
20003427,UPDATE
20003428,UPDATE
20003429,UPDATE
20003430,UPDATE
20003431,UPDATE
20003432,UPDATE
20003433,UPDATE
20003434,UPDATE
20003435,UPDATE
20003436,UPDATE
20003437,UPDATE
20003438,UPDATE
20003439,UPDATE
20003441,UPDATE
20003442,UPDATE
20003443,UPDATE
20003445,UPDATE
20003447,UPDATE
20003449,UPDATE
20003450,UPDATE
20003452,UPDATE
20003454,UPDATE
20003457,UPDATE
20003464,UPDATE
20003465,UPDATE
20003467,UPDATE
20003468,UPDATE
20003469,UPDATE
20003470,UPDATE
20003471,UPDATE
20003472,UPDATE
20003474,UPDATE
20003475,UPDATE
20003476,UPDATE
20003485,UPDATE
20003486,UPDATE
20003491,UPDATE
20003492,UPDATE
20003493,UPDATE
20003494,UPDATE
20003495,UPDATE
20003496,UPDATE
20003497,UPDATE
20003498,UPDATE
20003499,UPDATE
20003504,UPDATE
20003508,UPDATE
20003509,UPDATE
20003510,UPDATE
20003511,UPDATE
20003513,UPDATE
20003514,UPDATE
20003515,UPDATE
20003517,UPDATE
20003518,UPDATE
20003519,UPDATE
20003522,UPDATE
20003523,UPDATE
20003524,UPDATE
20003525,UPDATE
20003526,UPDATE
20003527,UPDATE
20003528,UPDATE
20003529,UPDATE
20003532,UPDATE
20003543,UPDATE
20003545,UPDATE
20003546,UPDATE
20003547,UPDATE
20003550,UPDATE
20003551,UPDATE
20003552,UPDATE
20003553,UPDATE
20003559,UPDATE
20003562,UPDATE
20003563,UPDATE
20003565,UPDATE
20003566,UPDATE
20003567,UPDATE
20003568,UPDATE
20003569,UPDATE
20003570,UPDATE
20003571,UPDATE
20004002,UPDATE
20004009,UPDATE
20004013,UPDATE
20004016,UPDATE
20004100,UPDATE
20004101,UPDATE
20004102,UPDATE
20004103,UPDATE
20004105,UPDATE
20004106,UPDATE
20004107,UPDATE
20004114,UPDATE
20004115,UPDATE
20004116,UPDATE
20004117,UPDATE
20004118,UPDATE
20004126,UPDATE
20004127,UPDATE
20004131,UPDATE
20004134,UPDATE
20004135,UPDATE
20004140,UPDATE
20004141,UPDATE
20004142,UPDATE
20004143,UPDATE
20004145,UPDATE
20004151,UPDATE
20004152,UPDATE
20004153,UPDATE
20004154,UPDATE
20004155,UPDATE
20004156,UPDATE
20004157,UPDATE
20004158,UPDATE
20004159,UPDATE
20004160,UPDATE
20004161,UPDATE
20004162,UPDATE
20004163,UPDATE
20004164,UPDATE
20004165,UPDATE
20004166,UPDATE
20004167,UPDATE
20004168,UPDATE
20004169,UPDATE
20004170,UPDATE
20004171,UPDATE
20004172,UPDATE
20004173,UPDATE
20004174,UPDATE
20004176,UPDATE
20004177,UPDATE
20004178,UPDATE
20004179,UPDATE
20004180,UPDATE
20004183,UPDATE
20004184,UPDATE
20004186,UPDATE
20004189,UPDATE
20004190,UPDATE
20004199,UPDATE
20004200,UPDATE
20004201,UPDATE
20004207,UPDATE
20004208,UPDATE
20004210,UPDATE
20004211,UPDATE
20004212,UPDATE
20004213,UPDATE
